,Date,Label,Price
573,2018-02-22,CLOSE,69.23400115966797
574,2018-02-23,OPEN,69.56600189208984
575,2018-02-23,CLOSE,70.41000366210938
576,2018-02-26,OPEN,70.69999694824219
577,2018-02-26,CLOSE,71.48400115966797
578,2018-02-27,OPEN,71.25
579,2018-02-27,CLOSE,70.197998046875
580,2018-02-28,OPEN,70.51399993896484
581,2018-02-28,CLOSE,68.61199951171875
582,2018-03-01,OPEN,69.00199890136719
583,2018-03-01,CLOSE,66.18599700927734
584,2018-03-02,OPEN,65.39600372314453
585,2018-03-02,CLOSE,67.02400207519531
586,2018-03-05,OPEN,66.47799682617188
587,2018-03-05,CLOSE,66.66999816894531
588,2018-03-06,OPEN,66.75
589,2018-03-06,CLOSE,65.63999938964844
590,2018-03-07,OPEN,65.08799743652344
591,2018-03-07,CLOSE,66.45999908447266
592,2018-03-08,OPEN,66.5719985961914
593,2018-03-08,CLOSE,65.81999969482422
594,2018-03-09,OPEN,64.81999969482422
595,2018-03-09,CLOSE,65.43399810791016
596,2018-03-12,OPEN,65.72200012207031
597,2018-03-12,CLOSE,69.10199737548828
598,2018-03-13,OPEN,65.72200012207031
599,2018-03-13,CLOSE,68.36799621582031
600,2018-03-14,OPEN,67.35199737548828
601,2018-03-14,CLOSE,65.32599639892578
602,2018-03-15,OPEN,65.8759994506836
603,2018-03-15,CLOSE,65.12000274658203
604,2018-03-16,OPEN,64.58599853515625
605,2018-03-16,CLOSE,64.2699966430664
606,2018-03-19,OPEN,63.29999923706055
607,2018-03-19,CLOSE,62.71200180053711
608,2018-03-20,OPEN,62.9739990234375
609,2018-03-20,CLOSE,62.11000061035156
610,2018-03-21,OPEN,62.04999923706055
611,2018-03-21,CLOSE,63.305999755859375
612,2018-03-22,OPEN,62.77799987792969
613,2018-03-22,CLOSE,61.81999969482422
614,2018-03-23,OPEN,62.25
615,2018-03-23,CLOSE,60.30799865722656
616,2018-03-26,OPEN,61.46799850463867
617,2018-03-26,CLOSE,60.83599853515625
618,2018-03-27,OPEN,60.79999923706055
619,2018-03-27,CLOSE,55.83599853515625
620,2018-03-28,OPEN,52.91600036621094
621,2018-03-28,CLOSE,51.555999755859375
622,2018-03-29,OPEN,51.29800033569336
623,2018-03-29,CLOSE,53.22600173950195
